STATION,DATE,HourlyDryBulbTemperature
72365623049,8/8/21 3:53,54
72365623049,8/8/21 4:53,52
72365623049,8/8/21 5:53,54
72365623049,8/8/21 6:53,61
72365623049,8/8/21 7:53,68
72365623049,8/8/21 8:53,73
72365623049,8/8/21 9:53,77
72365623049,8/8/21 10:53,83
72365623049,8/8/21 11:53,87
72365623049,8/8/21 12:53,89
72365623049,8/8/21 13:53,91
72365623049,8/8/21 14:53,92
72365623049,8/8/21 15:53,90
72365623049,8/8/21 16:53,91
72365623049,8/8/21 17:53,87
72365623049,8/8/21 18:53,80
72365623049,8/8/21 19:53,75
72365623049,8/8/21 20:53,69
72365623049,8/8/21 21:53,66
72365623049,8/8/21 22:53,65
72365623049,8/8/21 23:53,67
72365623049,8/8/21 23:59,
72365623049,8/9/21 0:53,60
72365623049,8/9/21 1:53,56
72365623049,8/9/21 2:53,61
72365623049,8/9/21 3:53,60
72365623049,8/9/21 4:53,55
72365623049,8/9/21 5:53,57
72365623049,8/9/21 6:53,64
72365623049,8/9/21 7:53,73
72365623049,8/9/21 8:53,79
72365623049,8/9/21 9:53,84
72365623049,8/9/21 10:53,86
72365623049,8/9/21 11:53,89
72365623049,8/9/21 12:53,91
72365623049,8/9/21 13:53,94
72365623049,8/9/21 14:53,94
72365623049,8/9/21 15:53,92
72365623049,8/9/21 16:53,92
72365623049,8/9/21 17:53,89
72365623049,8/9/21 18:53,85
72365623049,8/9/21 19:53,79
72365623049,8/9/21 20:53,77
72365623049,8/9/21 21:53,75
72365623049,8/9/21 22:53,75
72365623049,8/9/21 23:53,73
72365623049,8/9/21 23:59,
72365623049,8/10/21 0:53,73
72365623049,8/10/21 1:53,70
72365623049,8/10/21 2:53,67
72365623049,8/10/21 3:53,70
72365623049,8/10/21 4:53,68
72365623049,8/10/21 5:53,68
72365623049,8/10/21 6:53,71
72365623049,8/10/21 7:53,73
72365623049,8/10/21 8:53,75
72365623049,8/10/21 9:53,79
72365623049,8/10/21 10:53,85
