"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TMAX","TMIN","TOBS"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-03-04","45","18","24"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-03-05","46","9","36"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-03-06","57","23","33"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-03-07","60","19","44"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-03-08","60","28","48"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-03-09","55","25","41"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-03-10","61","23","40"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-03-11","65","30","42"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-03-12","62","32","42"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-03-13","55","37","45"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-03-14","58","24","37"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-03-15","67","28","50"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-03-16","70","30","43"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-03-17","58","34","43"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-03-18","67","33","46"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-03-19","62","37","40"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-03-20","48","35","40"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-03-21","62","31","42"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-03-22","67","26","58"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-03-23","64","31","43"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-03-24","67","28","46"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-03-25","64","28","45"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-03-26","58","20","39"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-03-27","70","26","46"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-03-28","74","30","54"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-03-29","73","33","66"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-03-30","71",,"63"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-03-31","64","34","61"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-04-01","71","35","57"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-04-02","69","31",
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-04-03","58","28","40"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-04-04","64","32","52"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-04-05","69","40","52"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-04-06","69","28","40"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-04-07","68","31","53"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-04-08","70","37","58"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-04-09","62","33","43"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-04-10","63","39","53"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-04-11","68","32","46"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-04-12","67","35","54"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-04-13","66","44","48"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-04-14","68","29","54"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-04-15","66","34","49"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-04-16","59","29","41"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-04-17","49","17","37"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-04-18","53","27","43"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-04-19","61","35","47"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-04-20","66","36","56"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-04-21","70","31","53"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-04-22","70","39","49"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-04-23","70","33","55"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-04-24","58","39","46"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-04-25","63","29","44"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-04-26","49","31","39"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-04-27","54","35","46"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-04-28","60","27","44"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-04-29","71","32","58"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-04-30","78","37","59"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-05-01","80","41","63"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-05-02","79","45","60"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-05-03","73","40","55"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-05-04","70","43","48"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-05-05","58","42","45"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-05-06","67","43","50"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-05-07","68","35","57"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-05-08","71","43","60"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-05-09","60","35","50"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-05-10","64","25","52"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-05-11","70","32","62"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-05-12",,"42","53"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-05-13","67","41","56"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-05-14","67","42","57"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-05-15","61","40","40"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-05-16","49","31","42"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-05-17","65","31","55"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-05-18","70","35","53"
