STATION,DATE,REPORT_TYPE,SOURCE,HourlyDryBulbTemperature
72365623049,2014-09-18T23:34:00,FM-16,7,61
72365623049,2014-09-18T23:41:00,FM-16,7,62
72365623049,2014-09-18T23:53:00,FM-15,7,62
72365623049,2014-09-18T23:59:00,SOD  ,6,
72365623049,2014-09-19T00:49:00,FM-16,7,59
72365623049,2014-09-19T00:53:00,FM-15,7,59
72365623049,2014-09-19T01:53:00,FM-15,7,58
72365623049,2014-09-19T02:53:00,FM-15,7,57
72365623049,2014-09-19T03:53:00,FM-15,7,59
72365623049,2014-09-19T04:53:00,FM-15,7,58
72365623049,2014-09-19T05:05:00,FM-16,7,59
72365623049,2014-09-19T05:51:00,FM-16,6,57
72365623049,2014-09-19T05:53:00,FM-15,7,58
72365623049,2014-09-19T06:53:00,FM-15,7,61
72365623049,2014-09-19T07:53:00,FM-15,7,65
72365623049,2014-09-19T08:53:00,FM-15,7,69
